book_id,isbn,isbn13,authors,publication_year,title,language_code,average_rating,image_url
70,812550706,9.78E+12,Orson Scott Card,1985,Ender's Game,eng,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,141439475,9.78E+12,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",eng,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,450040186,9.78E+12,Stephen King,1977,The Shining,eng,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,316068047,9.78E+12,Stephenie Meyer,2008,The Host,en-US,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,142402516,9.78E+12,John Green,2005,Looking for Alaska,eng,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,014028009X,9.78E+12,Helen Fielding,1996,,eng,3.75,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,141439661,9.78E+12,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,439244196,9.78E+12,"Louis Sachar, Louis Sachar",1998,Holes,eng,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,307275558,9.78E+12,Lauren Weisberger,2003,The Devil Wears Prada,eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,143039954,9.78E+12,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,eng,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,156012197,9.78E+12,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,eng,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,074324754X,9.78E+12,Jeannette Walls,2005,The Glass Castle,eng,4.24,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,385486804,9.78E+12,Jon Krakauer,1996,Into the Wild,eng,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,141439602,9.78E+12,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,030734813X,9.78E+12,Michael Crichton,1990,Jurassic Park,spa,3.96,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,60256656,9.78E+12,Shel Silverstein,1964,The Giving Tree,eng,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,385338600,9.78E+12,John Grisham,1989,A Time to Kill,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,374500010,9.78E+12,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,eng,4.3,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,014241493X,9.78E+12,John Green,2008,Paper Towns,en-US,3.88,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,345418263,9.78E+12,William Goldman,1973,The Princess Bride,en-US,4.25,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,014038572X,9.78E+12,S.E. Hinton,1967,The Outsiders,en-US,4.06,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,385737947,9.78E+12,James Dashner,2009,The Maze Runner,eng,4.02,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,61234001,9.78E+12,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,en-US,3.93,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,517189607,9.78E+12,Frances Hodgson Burnett,1911,The Secret Garden,eng,4.12,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,60531045,9.78E+12,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,eng,4.04,https://images.gr-assets.com/books/1327881361m/320.jpg
95,375751513,9.78E+12,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,4.06,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,345803507,9.78E+12,E.L. James,2012,Fifty Shades Freed,eng,3.88,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,393970124,9.78E+12,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,3.98,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,307269981,9.78E+12,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,eng,4.22,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,1612130585,9.78E+12,E.L. James,2011,Fifty Shades Darker,eng,3.87,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,60786507,9.78E+12,Barbara Kingsolver,1998,The Poisonwood Bible,eng,4.02,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,349113912,9.78E+12,David Sedaris,2000,Me Talk Pretty One Day,eng,3.97,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,99408392,9.78E+12,Maurice Sendak,1963,Where the Wild Things Are,eng,4.22,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,140449264,9.78E+12,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,eng,4.21,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,307265439,9.78E+12,Cormac McCarthy,2006,The Road,eng,3.95,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,7524277,9.78E+12,Veronica Roth,2013,Allegiant,eng,3.63,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,,,Tina Fey,2011,Bossypants,eng,3.94,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,446693804,9.78E+12,Nicholas Sparks,1999,A Walk to Remember,en-US,4.15,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,440241413,9.78E+12,Sophie Kinsella,2000,Confessions of a Shopaholic,eng,3.61,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,451525264,9.78E+12,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,4.14,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,553381695,9.78E+12,George R.R. Martin,1998,A Clash of Kings,eng,4.4,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,143037145,9.78E+12,Kim Edwards,2005,The Memory Keeper's Daughter,eng,3.64,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,670026603,9.78E+12,Jojo Moyes,2012,Me Before You,eng,4.27,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,684833395,9.78E+12,Joseph Heller,1961,Catch-22,en-US,3.98,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,751529818,9.78E+12,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,4.06,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,312422156,9.78E+12,Jeffrey Eugenides,2002,Middlesex,en-US,3.98,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,143039563,9.78E+12,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,3.89,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,440498058,9.78E+12,Madeleine L'Engle,1962,A Wrinkle in Time,en-US,4.04,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,143038095,9.78E+12,Amy Tan,1989,The Joy Luck Club,eng,3.9,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,038549081X,9.78E+12,Margaret Atwood,1985,The Handmaid's Tale,eng,4.06,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,385729332,9.78E+12,Ann Brashares,2001,The Sisterhood of the Traveling Pants,eng,3.75,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,,,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,3.88,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,60987103,9.78E+12,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,eng,3.52,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,582418275,9.78E+12,John Grisham,1991,The Firm,eng,3.99,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,316098337,9.78E+12,Emma Donoghue,2010,Room,eng,4.03,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,521618746,9.78E+12,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",eng,4,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,340839937,9.78E+12,Frank Herbert,1965,Dune,eng,4.19,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,316346624,9.78E+12,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,3.92,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,1451648537,9.78E+12,Walter Isaacson,2011,Steve Jobs,eng,4.09,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,451163966,9.78E+12,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,4.18,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,684830493,9.78E+12,Ernest Hemingway,1952,The Old Man and the Sea,eng,3.73,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,142000663,9.78E+12,John Steinbeck,1939,The Grapes of Wrath,eng,3.92,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,1401308589,9.78E+12,Mitch Albom,2003,The Five People You Meet in Heaven,,3.9,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,451528824,9.78E+12,L.M. Montgomery,1908,Anne of Green Gables,eng,4.23,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,1416914307,9.78E+12,Cassandra Clare,2009,City of Glass,en-US,4.34,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,055357342X,9.78E+12,George R.R. Martin,2000,A Storm of Swords,eng,4.54,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,006075995X,9.78E+12,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,3.79,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,440242940,9.78E+12,Diana Gabaldon,1991,Outlander,eng,4.2,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,142437263,9.78E+12,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,3.37,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,1594744769,9.78E+12,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,en-US,3.89,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,030726999X,9.78E+12,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,en-US,4.2,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,804139024,9.78E+12,Andy Weir,2012,The Martian,eng,4.39,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,451207149,9.78E+12,Ken Follett,1989,The Pillars of the Earth,eng,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,1476746583,9.78E+12,Anthony Doerr,2014,,eng,4.31,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,1400064163,9.78E+12,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,4.4,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,671027387,9.78E+12,Dan Brown,2001,Deception Point,eng,3.67,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,316055433,9.78E+12,Donna Tartt,2013,The Goldfinch,eng,3.87,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1595141715,9.78E+12,Jay Asher,2007,Thirteen Reasons Why,eng,4.02,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,452287022,9.78E+12,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,3.85,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,525421033,9.78E+12,Gayle Forman,2009,If I Stay,en-US,3.96,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,312353766,9.78E+12,Anita Diamant,1997,The Red Tent,en-US,4.16,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,786856866,9.78E+12,Rick Riordan,2006,The Sea of Monsters,eng,4.23,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,446528056,9.78E+12,Nicholas Sparks,2006,Dear John,en-US,4.01,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1416914293,9.78E+12,Cassandra Clare,2008,City of Ashes,eng,4.21,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,743477103,9.78E+12,William Shakespeare,1606,The Tragedy of Macbeth,eng,3.88,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,618346260,9.78E+12,J.R.R. Tolkien,1954,The Two Towers,en-US,4.42,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,031232118X,9.78E+12,Emily Giffin,2004,Something Borrowed,eng,3.83,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,394800168,9.78E+12,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,4.29,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,142403881,9.78E+12,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,eng,4.1,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,1423101464,9.78E+12,Rick Riordan,2008,The Battle of the Labyrinth,eng,4.39,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,192833596,9.78E+12,Charles Dickens,1860,Great Expectations,eng,3.75,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,345339738,9.78E+12,J.R.R. Tolkien,1955,The Return of the King,en-US,4.51,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,,,"Albert Camus, Matthew    Ward",1942,L’Étranger,eng,3.96,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,142311339X,9.78E+12,Rick Riordan,2010,The Lost Hero,eng,4.35,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,1250012570,9.78E+12,Rainbow Rowell,2013,Eleanor & Park,eng,4.11,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,055358202X,9.78E+12,George R.R. Martin,2005,A Feast for Crows,en-US,4.1,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,525423648,9.78E+12,Ally Condie,2010,Matched,eng,3.68,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,747263744,9.78E+12,Neil Gaiman,2001,American Gods,eng,4.11,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,385199570,9.78E+12,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,4.34,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,446547565,9.78E+12,Nicholas Sparks,2008,The Last Song,en-GB,4.14,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,552151696,9.78E+12,Dan Brown,1998,Digital Fortress,en-GB,3.6,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,141439580,9.78E+12,"Jane Austen, Fiona Stafford",1815,Emma,eng,3.99,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,345803922,9.78E+12,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,eng,4.02,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,393312836,9.78E+12,Anthony Burgess,1962,A Clockwork Orange,eng,3.98,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,964729237,9.78E+12,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,eng,3.74,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,739380338,9.78E+12,Rick Riordan,2009,The Last Olympian,eng,4.5,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,451169514,9.78E+12,Stephen King,1986,It,en-US,4.18,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,143058142,9.78E+12,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,eng,4.18,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,61148512,9.78E+12,Sylvia Plath,1963,The Bell Jar,en-US,3.98,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,7205236,9.78E+12,Frank McCourt,1996,Angela's Ashes: A Memoir,eng,4.07,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,553208845,9.78E+12,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,3.99,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,679745580,9.78E+12,Truman Capote,1965,In Cold Blood,eng,4.05,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,316042676,9.78E+12,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,eng,3.76,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,1416975861,9.78E+12,Cassandra Clare,2010,Clockwork Angel,eng,4.33,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,141301066,9.78E+12,"Roald Dahl, Quentin Blake",1988,Matilda,eng,4.29,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,385534639,9.78E+12,Erin Morgenstern,2011,The Night Circus,eng,4.03,https://images.gr-assets.com/books/1387124618m/9361589.jpg
